cycle,trend,date
395.64,394.42,2013-01-20
395.67,394.42,2013-01-21
395.69,394.43,2013-01-22
395.72,394.44,2013-01-23
395.75,394.45,2013-01-24
395.78,394.45,2013-01-25
395.8,394.46,2013-01-26
395.83,394.47,2013-01-27
395.86,394.48,2013-01-28
395.88,394.48,2013-01-29
395.91,394.49,2013-01-30
395.94,394.5,2013-01-31
395.96,394.51,2013-02-01
395.99,394.51,2013-02-02
396.01,394.52,2013-02-03
396.04,394.53,2013-02-04
396.06,394.54,2013-02-05
396.08,394.54,2013-02-06
396.1,394.55,2013-02-07
396.13,394.56,2013-02-08
396.15,394.57,2013-02-09
396.17,394.57,2013-02-10
396.19,394.58,2013-02-11
396.2,394.59,2013-02-12
396.22,394.59,2013-02-13
396.24,394.6,2013-02-14
396.25,394.61,2013-02-15
396.27,394.62,2013-02-16
396.28,394.62,2013-02-17
396.3,394.63,2013-02-18
396.31,394.64,2013-02-19
396.32,394.65,2013-02-20
396.33,394.65,2013-02-21
396.34,394.66,2013-02-22
396.35,394.67,2013-02-23
396.36,394.68,2013-02-24
396.37,394.68,2013-02-25
396.37,394.69,2013-02-26
396.38,394.7,2013-02-27
396.38,394.71,2013-02-28
396.39,394.71,2013-03-01
396.39,394.72,2013-03-02
396.4,394.73,2013-03-03
396.4,394.73,2013-03-04
396.4,394.74,2013-03-05
396.4,394.75,2013-03-06
396.41,394.76,2013-03-07
396.41,394.76,2013-03-08
396.41,394.77,2013-03-09
396.41,394.78,2013-03-10
396.41,394.79,2013-03-11
396.42,394.79,2013-03-12
396.42,394.8,2013-03-13
396.42,394.81,2013-03-14
396.42,394.82,2013-03-15
396.43,394.82,2013-03-16
396.43,394.83,2013-03-17
396.43,394.84,2013-03-18
396.44,394.84,2013-03-19
396.44,394.85,2013-03-20
396.45,394.86,2013-03-21
396.46,394.87,2013-03-22
396.46,394.87,2013-03-23
396.47,394.88,2013-03-24
396.48,394.89,2013-03-25
396.49,394.9,2013-03-26
396.5,394.9,2013-03-27
396.51,394.91,2013-03-28
396.53,394.92,2013-03-29
396.54,394.92,2013-03-30
396.56,394.93,2013-03-31
396.57,394.94,2013-04-01
396.59,394.95,2013-04-02
396.61,394.95,2013-04-03
396.63,394.96,2013-04-04
396.65,394.97,2013-04-05
396.67,394.97,2013-04-06
396.69,394.98,2013-04-07
396.71,394.99,2013-04-08
396.74,395.0,2013-04-09
396.76,395.0,2013-04-10
396.79,395.01,2013-04-11
396.81,395.02,2013-04-12
396.84,395.03,2013-04-13
396.87,395.03,2013-04-14
396.9,395.04,2013-04-15
396.93,395.05,2013-04-16
396.96,395.05,2013-04-17
396.98,395.06,2013-04-18
397.01,395.07,2013-04-19
397.04,395.08,2013-04-20
397.07,395.08,2013-04-21
397.1,395.09,2013-04-22
397.13,395.1,2013-04-23
397.16,395.1,2013-04-24
397.19,395.11,2013-04-25
397.22,395.12,2013-04-26
397.25,395.13,2013-04-27
397.28,395.13,2013-04-28
397.3,395.14,2013-04-29
397.33,395.15,2013-04-30
397.35,395.15,2013-05-01
397.38,395.16,2013-05-02
397.4,395.17,2013-05-03
397.42,395.18,2013-05-04
397.44,395.18,2013-05-05
397.46,395.19,2013-05-06
397.47,395.2,2013-05-07
397.49,395.2,2013-05-08
397.5,395.21,2013-05-09
397.51,395.22,2013-05-10
397.52,395.22,2013-05-11
397.53,395.23,2013-05-12
397.54,395.24,2013-05-13
397.54,395.25,2013-05-14
397.54,395.25,2013-05-15
397.54,395.26,2013-05-16
397.54,395.27,2013-05-17
397.54,395.27,2013-05-18
397.53,395.28,2013-05-19
397.52,395.29,2013-05-20
397.51,395.29,2013-05-21
397.49,395.3,2013-05-22
397.48,395.31,2013-05-23
397.46,395.32,2013-05-24
397.44,395.32,2013-05-25
397.41,395.33,2013-05-26
397.39,395.34,2013-05-27
397.36,395.34,2013-05-28
397.33,395.35,2013-05-29
397.29,395.36,2013-05-30
397.26,395.36,2013-05-31
397.22,395.37,2013-06-01
397.18,395.38,2013-06-02
397.14,395.38,2013-06-03
397.09,395.39,2013-06-04
397.05,395.4,2013-06-05
397.0,395.41,2013-06-06
396.95,395.41,2013-06-07
396.89,395.42,2013-06-08
396.84,395.43,2013-06-09
396.78,395.43,2013-06-10
396.73,395.44,2013-06-11
396.67,395.45,2013-06-12
396.61,395.45,2013-06-13
396.55,395.46,2013-06-14
396.48,395.47,2013-06-15
396.42,395.47,2013-06-16
